# 
# This file contains the parameter values of the Design Points successfully updated by Ansys Workbench.
# Project name: Project 2
# Creation date: 11/13/2021 15:46:51
# 
# 11/13/2021 15:46:52
# The parameters defined in the project are:
# ,P1 - rotor_thickness [mm],P2 - rotor_OD [mm],P3 - rotor_ID [mm]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3
DP 0,25,125,75
# 
# A non parametric change occurred and invalidated design point results.
# 11/13/2021 16:10:04
# 
# 
# 11/13/2021 17:50:17
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P1 - rotor_thickness [mm],P2 - rotor_OD [mm],P3 - rotor_ID [mm],P4 - Total Deformation Reported Frequency [Hz],P5 - Equivalent Stress Maximum [MPa],P6 - Temperature Maximum [C]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P4,P5,P6
DP 9,17.5,151,72,1011.5719064544214,10.657658394904876,378.00698852539063,1169591.3829865784
DP 10,17.5,151,84,1023.9210666891431,12.320811954187917,382.899658203125,1109272.8040376543
DP 11,20,124,78,1502.660677921921,17.154048498294529,364.657958984375,805614.31212329888
DP 12,20,133,78,1376.0995729543088,21.341455239124542,362.4088134765625,950944.38827836292
DP 13,20,142,66,1163.8918589599632,17.251701035835332,363.25790405273438,1174688.6170670281
DP 14,20,142,72,1224.7539574163325,20.264439766522,363.6424560546875,1142267.3808819819
DP 15,20,142,78,1234.7285491055629,19.33927961075857,363.54248046875,1106453.2246310583
DP 16,20,142,84,1176.5921711977235,17.409634388134887,364.04483032226563,1067246.1483142574
DP 17,20,142,90,1117.7039748302097,13.233054227934419,362.44451904296875,1024646.1519315798
DP 18,20,151,78,1095.4995904062109,20.31926986123651,365.313720703125,1272140.8211813834
DP 19,20,160,78,970.69285962659046,20.663127719576384,360.71273803710938,1448007.1779293395
DP 20,22.5,133,72,1459.7950454922627,11.290931680156909,349.1676025390625,1084972.5848621374
DP 21,22.5,133,84,1315.9810603478663,11.759269348681707,348.951904296875,995248.6986756128
DP 22,22.5,142,78,1268.7876941705358,11.5212349336431,349.77651977539063,1217037.2860374183
DP 23,22.5,151,72,1122.0277795289719,11.445308682256236,350.08102416992188,1446318.5718780351
DP 24,22.5,151,84,1078.8592670121125,12.055853514232624,350.1927490234375,1356594.6856915106
DP 25,25,124,66,1708.8515844798048,17.127067491120673,339.77249145507813,1046951.4597720662
DP 26,25,124,90,1274.2398049738488,13.020207329113298,342.54498291015625,838098.38016141707
DP 27,25,142,78,1304.7742628219112,17.262261531460855,340.58746337890625,1327621.3474437795
DP 28,25,160,66,1017.7219990228123,18.880280173779184,338.7674560546875,1849942.5420296171
DP 29,25,160,90,986.24191792631621,14.939616606992663,340.31301879882813,1641089.4624189681
DP 1,20.038229987258092,124.00508795352653,66.467347749508917,1583.5947916135806,13.388835184049507,360.47756958007813,872841.75494259386
DP 2,20.260653045261279,124.21491594100371,89.994352092035115,1209.0839378942187,13.875065141849689,356.89962768554688,733203.3035756686
DP 1,22.275796352611444,124.04346024922744,89.950688370294159,1235.5095111613405,14.016437864634604,349.36776733398438,777009.69798770978
